image_class,image_id,phase,system,parameter,parameter_value,result,combination
1,0,saliency_map,SelfTrained_Model,percentile,0.99,5,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model_Gray,percentile,0.99,1,SelfTrained_Model
1,0,saliency_map,PreTrained_ResNext,percentile,0.99,1,SelfTrained_Model
1,0,saliency_map,PreTrained_InceptionV3,percentile,0.99,5,SelfTrained_Model
1,0,saliency_map,PreTrained_MobileNetV2,percentile,0.99,5,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model,percentile,0.98,5,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model_Gray,percentile,0.98,2,SelfTrained_Model
1,0,saliency_map,PreTrained_ResNext,percentile,0.98,1,SelfTrained_Model
1,0,saliency_map,PreTrained_InceptionV3,percentile,0.98,3,SelfTrained_Model
1,0,saliency_map,PreTrained_MobileNetV2,percentile,0.98,3,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model,percentile,0.97,3,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model_Gray,percentile,0.97,3,SelfTrained_Model
1,0,saliency_map,PreTrained_ResNext,percentile,0.97,5,SelfTrained_Model
1,0,saliency_map,PreTrained_InceptionV3,percentile,0.97,5,SelfTrained_Model
1,0,saliency_map,PreTrained_MobileNetV2,percentile,0.97,3,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model,percentile,0.96,3,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model_Gray,percentile,0.96,2,SelfTrained_Model
1,0,saliency_map,PreTrained_ResNext,percentile,0.96,4,SelfTrained_Model
1,0,saliency_map,PreTrained_InceptionV3,percentile,0.96,5,SelfTrained_Model
1,0,saliency_map,PreTrained_MobileNetV2,percentile,0.96,3,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model,percentile,0.95,3,SelfTrained_Model
1,0,saliency_map,SelfTrained_Model_Gray,percentile,0.95,3,SelfTrained_Model
1,0,saliency_map,PreTrained_ResNext,percentile,0.95,1,SelfTrained_Model
1,0,saliency_map,PreTrained_InceptionV3,percentile,0.95,5,SelfTrained_Model
1,0,saliency_map,PreTrained_MobileNetV2,percentile,0.95,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model,percentile,0.99,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model_Gray,percentile,0.99,5,SelfTrained_Model
1,1,saliency_map,PreTrained_ResNext,percentile,0.99,5,SelfTrained_Model
1,1,saliency_map,PreTrained_InceptionV3,percentile,0.99,5,SelfTrained_Model
1,1,saliency_map,PreTrained_MobileNetV2,percentile,0.99,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model,percentile,0.98,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model_Gray,percentile,0.98,5,SelfTrained_Model
1,1,saliency_map,PreTrained_ResNext,percentile,0.98,5,SelfTrained_Model
1,1,saliency_map,PreTrained_InceptionV3,percentile,0.98,5,SelfTrained_Model
1,1,saliency_map,PreTrained_MobileNetV2,percentile,0.98,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model,percentile,0.97,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model_Gray,percentile,0.97,2,SelfTrained_Model
1,1,saliency_map,PreTrained_ResNext,percentile,0.97,5,SelfTrained_Model
1,1,saliency_map,PreTrained_InceptionV3,percentile,0.97,5,SelfTrained_Model
1,1,saliency_map,PreTrained_MobileNetV2,percentile,0.97,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model,percentile,0.96,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model_Gray,percentile,0.96,5,SelfTrained_Model
1,1,saliency_map,PreTrained_ResNext,percentile,0.96,5,SelfTrained_Model
1,1,saliency_map,PreTrained_InceptionV3,percentile,0.96,5,SelfTrained_Model
1,1,saliency_map,PreTrained_MobileNetV2,percentile,0.96,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model,percentile,0.95,5,SelfTrained_Model
1,1,saliency_map,SelfTrained_Model_Gray,percentile,0.95,3,SelfTrained_Model
1,1,saliency_map,PreTrained_ResNext,percentile,0.95,5,SelfTrained_Model
1,1,saliency_map,PreTrained_InceptionV3,percentile,0.95,3,SelfTrained_Model
1,1,saliency_map,PreTrained_MobileNetV2,percentile,0.95,5,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model,percentile,0.99,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model_Gray,percentile,0.99,2,SelfTrained_Model
2,0,saliency_map,PreTrained_ResNext,percentile,0.99,2,SelfTrained_Model
2,0,saliency_map,PreTrained_InceptionV3,percentile,0.99,2,SelfTrained_Model
2,0,saliency_map,PreTrained_MobileNetV2,percentile,0.99,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model,percentile,0.98,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model_Gray,percentile,0.98,2,SelfTrained_Model
2,0,saliency_map,PreTrained_ResNext,percentile,0.98,2,SelfTrained_Model
2,0,saliency_map,PreTrained_InceptionV3,percentile,0.98,2,SelfTrained_Model
2,0,saliency_map,PreTrained_MobileNetV2,percentile,0.98,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model,percentile,0.97,1,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model_Gray,percentile,0.97,2,SelfTrained_Model
2,0,saliency_map,PreTrained_ResNext,percentile,0.97,5,SelfTrained_Model
2,0,saliency_map,PreTrained_InceptionV3,percentile,0.97,2,SelfTrained_Model
2,0,saliency_map,PreTrained_MobileNetV2,percentile,0.97,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model,percentile,0.96,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model_Gray,percentile,0.96,2,SelfTrained_Model
2,0,saliency_map,PreTrained_ResNext,percentile,0.96,5,SelfTrained_Model
2,0,saliency_map,PreTrained_InceptionV3,percentile,0.96,3,SelfTrained_Model
2,0,saliency_map,PreTrained_MobileNetV2,percentile,0.96,2,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model,percentile,0.95,1,SelfTrained_Model
2,0,saliency_map,SelfTrained_Model_Gray,percentile,0.95,2,SelfTrained_Model
2,0,saliency_map,PreTrained_ResNext,percentile,0.95,5,SelfTrained_Model
2,0,saliency_map,PreTrained_InceptionV3,percentile,0.95,2,SelfTrained_Model
2,0,saliency_map,PreTrained_MobileNetV2,percentile,0.95,2,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model,percentile,0.99,7,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model_Gray,percentile,0.99,14,SelfTrained_Model
2,1,saliency_map,PreTrained_ResNext,percentile,0.99,40,SelfTrained_Model
2,1,saliency_map,PreTrained_InceptionV3,percentile,0.99,40,SelfTrained_Model
2,1,saliency_map,PreTrained_MobileNetV2,percentile,0.99,12,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model,percentile,0.98,38,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model_Gray,percentile,0.98,14,SelfTrained_Model
2,1,saliency_map,PreTrained_ResNext,percentile,0.98,40,SelfTrained_Model
2,1,saliency_map,PreTrained_InceptionV3,percentile,0.98,40,SelfTrained_Model
2,1,saliency_map,PreTrained_MobileNetV2,percentile,0.98,14,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model,percentile,0.97,38,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model_Gray,percentile,0.97,14,SelfTrained_Model
2,1,saliency_map,PreTrained_ResNext,percentile,0.97,40,SelfTrained_Model
2,1,saliency_map,PreTrained_InceptionV3,percentile,0.97,2,SelfTrained_Model
2,1,saliency_map,PreTrained_MobileNetV2,percentile,0.97,12,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model,percentile,0.96,38,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model_Gray,percentile,0.96,14,SelfTrained_Model
2,1,saliency_map,PreTrained_ResNext,percentile,0.96,7,SelfTrained_Model
2,1,saliency_map,PreTrained_InceptionV3,percentile,0.96,2,SelfTrained_Model
2,1,saliency_map,PreTrained_MobileNetV2,percentile,0.96,2,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model,percentile,0.95,2,SelfTrained_Model
2,1,saliency_map,SelfTrained_Model_Gray,percentile,0.95,14,SelfTrained_Model
2,1,saliency_map,PreTrained_ResNext,percentile,0.95,2,SelfTrained_Model
2,1,saliency_map,PreTrained_InceptionV3,percentile,0.95,2,SelfTrained_Model
2,1,saliency_map,PreTrained_MobileNetV2,percentile,0.95,12,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model,percentile,0.99,5,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model_Gray,percentile,0.99,2,SelfTrained_Model
2,2,saliency_map,PreTrained_ResNext,percentile,0.99,2,SelfTrained_Model
2,2,saliency_map,PreTrained_InceptionV3,percentile,0.99,2,SelfTrained_Model
2,2,saliency_map,PreTrained_MobileNetV2,percentile,0.99,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model,percentile,0.98,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model_Gray,percentile,0.98,2,SelfTrained_Model
2,2,saliency_map,PreTrained_ResNext,percentile,0.98,2,SelfTrained_Model
2,2,saliency_map,PreTrained_InceptionV3,percentile,0.98,2,SelfTrained_Model
2,2,saliency_map,PreTrained_MobileNetV2,percentile,0.98,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model,percentile,0.97,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model_Gray,percentile,0.97,2,SelfTrained_Model
2,2,saliency_map,PreTrained_ResNext,percentile,0.97,5,SelfTrained_Model
2,2,saliency_map,PreTrained_InceptionV3,percentile,0.97,2,SelfTrained_Model
2,2,saliency_map,PreTrained_MobileNetV2,percentile,0.97,5,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model,percentile,0.96,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model_Gray,percentile,0.96,2,SelfTrained_Model
2,2,saliency_map,PreTrained_ResNext,percentile,0.96,2,SelfTrained_Model
2,2,saliency_map,PreTrained_InceptionV3,percentile,0.96,5,SelfTrained_Model
2,2,saliency_map,PreTrained_MobileNetV2,percentile,0.96,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model,percentile,0.95,2,SelfTrained_Model
2,2,saliency_map,SelfTrained_Model_Gray,percentile,0.95,2,SelfTrained_Model
2,2,saliency_map,PreTrained_ResNext,percentile,0.95,2,SelfTrained_Model
2,2,saliency_map,PreTrained_InceptionV3,percentile,0.95,2,SelfTrained_Model
2,2,saliency_map,PreTrained_MobileNetV2,percentile,0.95,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model,percentile,0.99,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model_Gray,percentile,0.99,2,SelfTrained_Model
2,3,saliency_map,PreTrained_ResNext,percentile,0.99,2,SelfTrained_Model
2,3,saliency_map,PreTrained_InceptionV3,percentile,0.99,2,SelfTrained_Model
2,3,saliency_map,PreTrained_MobileNetV2,percentile,0.99,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model,percentile,0.98,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model_Gray,percentile,0.98,2,SelfTrained_Model
2,3,saliency_map,PreTrained_ResNext,percentile,0.98,2,SelfTrained_Model
2,3,saliency_map,PreTrained_InceptionV3,percentile,0.98,2,SelfTrained_Model
2,3,saliency_map,PreTrained_MobileNetV2,percentile,0.98,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model,percentile,0.97,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model_Gray,percentile,0.97,2,SelfTrained_Model
2,3,saliency_map,PreTrained_ResNext,percentile,0.97,3,SelfTrained_Model
2,3,saliency_map,PreTrained_InceptionV3,percentile,0.97,3,SelfTrained_Model
2,3,saliency_map,PreTrained_MobileNetV2,percentile,0.97,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model,percentile,0.96,2,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model_Gray,percentile,0.96,9,SelfTrained_Model
2,3,saliency_map,PreTrained_ResNext,percentile,0.96,5,SelfTrained_Model
2,3,saliency_map,PreTrained_InceptionV3,percentile,0.96,3,SelfTrained_Model
2,3,saliency_map,PreTrained_MobileNetV2,percentile,0.96,5,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model,percentile,0.95,1,SelfTrained_Model
2,3,saliency_map,SelfTrained_Model_Gray,percentile,0.95,9,SelfTrained_Model
2,3,saliency_map,PreTrained_ResNext,percentile,0.95,5,SelfTrained_Model
2,3,saliency_map,PreTrained_InceptionV3,percentile,0.95,3,SelfTrained_Model
2,3,saliency_map,PreTrained_MobileNetV2,percentile,0.95,5,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model,percentile,0.99,2,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model_Gray,percentile,0.99,2,SelfTrained_Model
2,4,saliency_map,PreTrained_ResNext,percentile,0.99,2,SelfTrained_Model
2,4,saliency_map,PreTrained_InceptionV3,percentile,0.99,2,SelfTrained_Model
2,4,saliency_map,PreTrained_MobileNetV2,percentile,0.99,2,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model,percentile,0.98,2,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model_Gray,percentile,0.98,2,SelfTrained_Model
2,4,saliency_map,PreTrained_ResNext,percentile,0.98,2,SelfTrained_Model
2,4,saliency_map,PreTrained_InceptionV3,percentile,0.98,2,SelfTrained_Model
2,4,saliency_map,PreTrained_MobileNetV2,percentile,0.98,2,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model,percentile,0.97,2,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model_Gray,percentile,0.97,2,SelfTrained_Model
2,4,saliency_map,PreTrained_ResNext,percentile,0.97,2,SelfTrained_Model
2,4,saliency_map,PreTrained_InceptionV3,percentile,0.97,5,SelfTrained_Model
2,4,saliency_map,PreTrained_MobileNetV2,percentile,0.97,5,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model,percentile,0.96,5,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model_Gray,percentile,0.96,2,SelfTrained_Model
2,4,saliency_map,PreTrained_ResNext,percentile,0.96,5,SelfTrained_Model
2,4,saliency_map,PreTrained_InceptionV3,percentile,0.96,2,SelfTrained_Model
2,4,saliency_map,PreTrained_MobileNetV2,percentile,0.96,5,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model,percentile,0.95,5,SelfTrained_Model
2,4,saliency_map,SelfTrained_Model_Gray,percentile,0.95,2,SelfTrained_Model
2,4,saliency_map,PreTrained_ResNext,percentile,0.95,5,SelfTrained_Model
2,4,saliency_map,PreTrained_InceptionV3,percentile,0.95,5,SelfTrained_Model
2,4,saliency_map,PreTrained_MobileNetV2,percentile,0.95,5,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model,percentile,0.99,2,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model_Gray,percentile,0.99,2,SelfTrained_Model
2,5,saliency_map,PreTrained_ResNext,percentile,0.99,2,SelfTrained_Model
2,5,saliency_map,PreTrained_InceptionV3,percentile,0.99,2,SelfTrained_Model
2,5,saliency_map,PreTrained_MobileNetV2,percentile,0.99,2,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model,percentile,0.98,2,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model_Gray,percentile,0.98,2,SelfTrained_Model
2,5,saliency_map,PreTrained_ResNext,percentile,0.98,5,SelfTrained_Model
2,5,saliency_map,PreTrained_InceptionV3,percentile,0.98,2,SelfTrained_Model
2,5,saliency_map,PreTrained_MobileNetV2,percentile,0.98,5,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model,percentile,0.97,2,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model_Gray,percentile,0.97,2,SelfTrained_Model
2,5,saliency_map,PreTrained_ResNext,percentile,0.97,5,SelfTrained_Model
2,5,saliency_map,PreTrained_InceptionV3,percentile,0.97,5,SelfTrained_Model
2,5,saliency_map,PreTrained_MobileNetV2,percentile,0.97,5,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model,percentile,0.96,2,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model_Gray,percentile,0.96,2,SelfTrained_Model
2,5,saliency_map,PreTrained_ResNext,percentile,0.96,5,SelfTrained_Model
2,5,saliency_map,PreTrained_InceptionV3,percentile,0.96,5,SelfTrained_Model
2,5,saliency_map,PreTrained_MobileNetV2,percentile,0.96,5,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model,percentile,0.95,2,SelfTrained_Model
2,5,saliency_map,SelfTrained_Model_Gray,percentile,0.95,2,SelfTrained_Model
2,5,saliency_map,PreTrained_ResNext,percentile,0.95,5,SelfTrained_Model
2,5,saliency_map,PreTrained_InceptionV3,percentile,0.95,5,SelfTrained_Model
2,5,saliency_map,PreTrained_MobileNetV2,percentile,0.95,5,SelfTrained_Model
2,6,saliency_map,SelfTrained_Model,percentile,0.99,7,SelfTrained_Model
2,6,saliency_map,SelfTrained_Model_Gray,percentile,0.99,14,SelfTrained_Model
2,6,saliency_map,PreTrained_ResNext,percentile,0.99,3,SelfTrained_Model
2,6,saliency_map,PreTrained_InceptionV3,percentile,0.99,2,SelfTrained_Model
2,6,saliency_map,PreTrained_MobileNetV2,percentile,0.99,2,SelfTrained_Model
2,6,saliency_map,SelfTrained_Model,percentile,0.98,38,SelfTrained_Model
2,6,saliency_map,SelfTrained_Model_Gray,percentile,0.98,14,SelfTrained_Model
2,6,saliency_map,PreTrained_ResNext,percentile,0.98,3,SelfTrained_Model
2,6,saliency_map,PreTrained_InceptionV3,percentile,0.98,2,SelfTrained_Model
2,6,saliency_map,PreTrained_MobileNetV2,percentile,0.98,3,SelfTrained_Model
2,6,saliency_map,SelfTrained_Model,percentile,0.97,38,SelfTrained_Model
2,6,saliency_map,SelfTrained_Model_Gray,percentile,0.97,3,SelfTrained_Model
2,6,saliency_map,PreTrained_ResNext,percentile,0.97,5,SelfTrained_Model
2,6,saliency_map,PreTrained_InceptionV3,percentile,0.97,2,SelfTrained_Model
2,6,saliency_map,PreTrained_MobileNetV2,percentile,0.97,3,SelfTrained_Model
