image_class,image_id,phase,system,parameter,parameter_value,result,combination
1,0,classification,commercial_system,,,1,
1,1,classification,commercial_system,,,1,
2,0,classification,commercial_system,,,2,
2,1,classification,commercial_system,,,255,
2,2,classification,commercial_system,,,2,
2,3,classification,commercial_system,,,2,
2,4,classification,commercial_system,,,2,
2,5,classification,commercial_system,,,2,
2,6,classification,commercial_system,,,2,
2,7,classification,commercial_system,,,2,
2,8,classification,commercial_system,,,2,
2,9,classification,commercial_system,,,2,
2,10,classification,commercial_system,,,2,
2,11,classification,commercial_system,,,2,
2,12,classification,commercial_system,,,2,
2,13,classification,commercial_system,,,2,
2,14,classification,commercial_system,,,2,
2,15,classification,commercial_system,,,2,
2,16,classification,commercial_system,,,2,
2,17,classification,commercial_system,,,2,
2,18,classification,commercial_system,,,2,
3,0,classification,commercial_system,,,3,
3,1,classification,commercial_system,,,3,
4,0,classification,commercial_system,,,4,
4,1,classification,commercial_system,,,4,
4,2,classification,commercial_system,,,4,
4,3,classification,commercial_system,,,4,
4,4,classification,commercial_system,,,4,
4,5,classification,commercial_system,,,4,
4,6,classification,commercial_system,,,255,
4,7,classification,commercial_system,,,4,
4,8,classification,commercial_system,,,4,
4,9,classification,commercial_system,,,4,
4,10,classification,commercial_system,,,4,
4,11,classification,commercial_system,,,4,
4,12,classification,commercial_system,,,4,
4,13,classification,commercial_system,,,4,
4,14,classification,commercial_system,,,4,
4,15,classification,commercial_system,,,4,
4,16,classification,commercial_system,,,4,
4,17,classification,commercial_system,,,4,
4,18,classification,commercial_system,,,4,
4,19,classification,commercial_system,,,4,
4,20,classification,commercial_system,,,4,
4,21,classification,commercial_system,,,4,
4,22,classification,commercial_system,,,4,
4,23,classification,commercial_system,,,4,
4,24,classification,commercial_system,,,4,
4,25,classification,commercial_system,,,4,
4,26,classification,commercial_system,,,4,
4,27,classification,commercial_system,,,4,
4,28,classification,commercial_system,,,4,
4,29,classification,commercial_system,,,4,
4,30,classification,commercial_system,,,4,
4,31,classification,commercial_system,,,4,
4,32,classification,commercial_system,,,4,
4,33,classification,commercial_system,,,4,
4,34,classification,commercial_system,,,4,
4,35,classification,commercial_system,,,4,
4,36,classification,commercial_system,,,4,
4,37,classification,commercial_system,,,4,
4,38,classification,commercial_system,,,4,
4,39,classification,commercial_system,,,4,
5,0,classification,commercial_system,,,5,
5,1,classification,commercial_system,,,5,
5,2,classification,commercial_system,,,5,
7,0,classification,commercial_system,,,7,
7,1,classification,commercial_system,,,7,
7,2,classification,commercial_system,,,7,
8,0,classification,commercial_system,,,8,
8,1,classification,commercial_system,,,8,
8,2,classification,commercial_system,,,8,
